Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-7.52965,-73.91774,20.61344,7.59796,60.00000,5.44997,66.38809,53.30431,0.00000,0.00000,0.00000,0.04390,0.04410,0.00527,0.00000,0.33076,0.61064,0.00245,0.02671,0.12952,0.23660,0.01538,0.71000,,
-7.52639,-73.88628,20.61315,7.61987,60.00000,5.46794,66.35989,53.27313,0.00000,0.00000,0.00000,0.03117,0.02821,0.00029,0.00000,0.33079,0.61088,0.00294,0.02337,0.96102,0.59300,0.18995,0.72000,,
-7.52284,-73.87693,20.61261,7.62902,60.00000,5.46850,66.35410,53.26432,0.00000,0.00000,0.00000,0.00881,0.00579,0.00054,0.00000,0.33080,0.61095,0.00145,0.00726,0.86166,0.45344,0.05577,0.73000,,
-7.50940,-73.89603,20.60958,7.63289,60.00000,5.44405,66.38663,53.28645,0.00000,0.00000,0.00000,0.02213,0.03253,0.00303,0.00000,0.33082,0.61083,0.00152,0.01221,0.23749,0.61459,0.19814,0.74000,,
-7.50988,-73.89699,20.60486,7.64989,60.00000,5.41505,66.38711,53.29212,0.00000,0.00000,0.00000,0.00567,0.00048,0.00471,0.00000,0.33081,0.61083,0.00133,0.00027,0.07865,0.06949,0.18004,0.75000,,
-7.51536,-73.90169,20.60683,7.65242,60.00000,5.38980,66.38633,53.29486,0.00000,0.00000,0.00000,0.00274,0.00078,0.00197,0.00000,0.33079,0.61079,0.00129,0.00432,0.19518,0.37173,0.16276,0.76000,,
-7.51874,-73.87844,20.60803,7.64996,60.00000,5.36419,66.35970,53.27042,0.00000,0.00000,0.00000,0.02444,0.02663,0.00120,0.00000,0.33080,0.61095,0.00098,0.01648,0.36970,0.34819,0.14556,0.77000,,
-7.52249,-73.86095,20.62681,7.61793,60.00000,5.34948,66.33847,53.23414,0.00000,0.00000,0.00000,0.03628,0.02123,0.01879,0.00000,0.33085,0.61104,0.00472,0.00844,0.37124,0.29804,0.15207,0.78000,,
-7.52395,-73.84970,20.62768,7.57834,60.00000,5.33896,66.32575,53.22202,0.00000,0.00000,0.00000,0.01212,0.01272,0.00086,0.00000,0.33086,0.61111,0.00059,0.00793,0.20020,0.18754,0.29244,0.79000,,
-7.51681,-73.84664,20.61964,7.56157,60.00000,5.33270,66.32983,53.22700,0.00000,0.00000,0.00000,0.00497,0.00408,0.00804,0.00000,0.33086,0.61116,0.00016,0.00457,0.37861,0.21909,0.43978,0.80000,,
-7.50939,-73.84663,20.60065,7.54107,60.00000,5.32497,66.33724,53.24598,0.00000,0.00000,0.00000,0.01898,0.00741,0.01900,0.00000,0.33083,0.61121,0.00260,0.00473,0.16301,0.20885,0.15841,0.81000,,
-7.50297,-73.84647,20.57928,7.52713,60.00000,5.31931,66.34350,53.26719,0.00000,0.00000,0.00000,0.02121,0.00626,0.02136,0.00000,0.33080,0.61126,0.00343,0.00525,0.17776,0.62951,0.24508,0.82000,,
-7.50188,-73.83472,20.54729,7.50560,60.00000,5.32130,66.33283,53.28743,0.00000,0.00000,0.00000,0.02024,0.01067,0.03199,0.00000,0.33073,0.61142,0.00661,0.01558,0.12506,0.68878,0.09926,0.83000,,
-7.52300,-73.81484,20.51852,7.47460,60.00000,5.33289,66.29185,53.29632,0.00000,0.00000,0.00000,0.00889,0.04099,0.02877,0.00000,0.33062,0.61161,0.01115,0.01898,0.12059,0.10804,0.08159,0.84000,,
-7.56557,-73.80367,20.49830,7.45255,60.00000,5.36716,66.23811,53.30537,0.00000,0.00000,0.00000,0.00906,0.05374,0.02022,0.00000,0.33047,0.61170,0.01536,0.00896,0.08911,0.19057,0.08505,0.85000,,
-7.61426,-73.80174,20.48876,7.44805,60.00000,5.38757,66.18748,53.31298,0.00000,0.00000,0.00000,0.00761,0.05062,0.00954,0.00000,0.33032,0.61169,0.01504,0.00063,0.32080,0.38034,0.26782,0.86000,,
-7.65797,-73.82603,20.48771,7.43409,60.00000,5.38982,66.16806,53.33832,0.00000,0.00000,0.00000,0.02534,0.01942,0.00105,0.00000,0.33018,0.61148,0.01348,0.02126,0.40723,0.38500,0.06474,0.87000,,
-7.69990,-73.86257,20.50261,7.41667,60.00000,5.37105,66.16267,53.35996,0.00000,0.00000,0.00000,0.02164,0.00539,0.01490,0.00000,0.33008,0.61114,0.01000,0.03350,0.10026,0.80885,0.08334,0.88000,,
-7.74133,-73.89312,20.51967,7.39474,60.00000,5.35323,66.15179,53.37345,0.00000,0.00000,0.00000,0.01349,0.01087,0.01706,0.00000,0.32999,0.61085,0.00893,0.02958,0.19095,0.08489,0.13202,0.89000,,
-7.78810,-73.89561,20.53460,7.39003,60.00000,5.33683,66.10751,53.36101,0.00000,0.00000,0.00000,0.01244,0.04429,0.01493,0.00000,0.32990,0.61076,0.00893,0.00904,0.21112,1.24879,0.18713,0.90000,,
-7.79636,-73.87716,20.54897,7.39053,60.00000,5.32328,66.08080,53.32819,0.00000,0.00000,0.00000,0.03281,0.02670,0.01437,0.00000,0.32993,0.61085,0.00254,0.00971,0.04190,1.16329,0.37095,0.91000,,
-7.79283,-73.86337,20.55125,7.39422,60.00000,5.31248,66.07053,53.31211,0.00000,0.00000,0.00000,0.01608,0.01027,0.00229,0.00000,0.32995,0.61095,0.00242,0.00991,0.10076,0.20987,0.10710,0.92000,,
-7.79223,-73.83803,20.54585,7.40626,60.00000,5.30057,66.04580,53.29218,0.00000,0.00000,0.00000,0.01994,0.02473,0.00540,0.00000,0.32996,0.61115,0.00059,0.01976,0.09961,0.60992,0.06504,0.93000,,
-7.78060,-73.82603,20.52148,7.41227,60.00000,5.29172,66.04543,53.30455,0.00000,0.00000,0.00000,0.01238,0.00037,0.02437,0.00000,0.32994,0.61130,0.00197,0.01502,0.23505,0.42605,0.07576,0.94000,,
-7.77433,-73.81588,20.49355,7.43207,60.00000,5.27812,66.04154,53.32233,0.00000,0.00000,0.00000,0.01778,0.00389,0.02794,0.00000,0.32989,0.61144,0.00437,0.01397,0.23325,0.35417,0.11541,0.95000,,
-7.76509,-73.80438,20.48234,7.45319,60.00000,5.27533,66.03929,53.32204,0.00000,0.00000,0.00000,0.00030,0.00225,0.01120,0.00000,0.32990,0.61155,0.00053,0.01161,0.11399,0.32380,0.08791,0.96000,,
-7.76111,-73.80742,20.47761,7.47274,60.00000,5.29162,66.04631,53.32981,0.00000,0.00000,0.00000,0.00777,0.00702,0.00473,0.00000,0.32990,0.61155,0.00029,0.00086,0.20466,0.81085,0.06732,0.97000,,
-7.75273,-73.79647,20.48208,7.48913,60.00000,5.32031,66.04374,53.31439,0.00000,0.00000,0.00000,0.01542,0.00257,0.00447,0.00000,0.32994,0.61162,0.00404,0.00777,0.16315,0.22719,0.13486,0.98000,,
-7.74646,-73.79961,20.48037,7.49058,60.00000,5.35526,66.05314,53.31924,0.00000,0.00000,0.00000,0.00484,0.00940,0.00171,0.00000,0.32995,0.61161,0.00103,0.00138,0.05854,0.35332,0.19595,0.99000,,
-7.74699,-73.82455,20.49344,7.48350,60.00000,5.36320,66.07757,53.33112,0.00000,0.00000,0.00000,0.01188,0.02443,0.01307,0.00000,0.32996,0.61140,0.00130,0.02111,0.12427,0.96473,0.21070,0.98000,,
-7.78060,-73.85595,20.49346,7.48357,60.00000,5.36203,66.07535,53.36250,0.00000,0.00000,0.00000,0.03138,0.00222,0.00002,0.00000,0.32985,0.61114,0.01103,0.02587,0.04965,0.76012,0.21661,0.97000,,
-7.82551,-73.85771,20.48442,7.48703,60.00000,5.35060,66.03220,53.37329,0.00000,0.00000,0.00000,0.01080,0.04314,0.00904,0.00000,0.32971,0.61111,0.01417,0.00323,0.10549,0.65902,0.20502,0.96000,,
-7.86473,-73.87648,20.48233,7.50285,60.00000,5.32796,66.01175,53.39415,0.00000,0.00000,0.00000,0.02086,0.02045,0.00209,0.00000,0.32959,0.61094,0.01215,0.01670,0.16917,0.15512,0.18711,0.95000,,
-7.88495,-73.89712,20.45938,7.53010,60.00000,5.31695,66.01217,53.43774,0.00000,0.00000,0.00000,0.04359,0.00042,0.02295,0.00000,0.32946,0.61082,0.01228,0.01196,0.07305,0.44405,0.07484,0.94000,,
-7.88675,-73.92448,20.44027,7.56375,60.00000,5.29537,66.03773,53.48422,0.00000,0.00000,0.00000,0.04648,0.02557,0.01912,0.00000,0.32939,0.61066,0.00695,0.01611,0.08402,0.31674,0.10134,0.93000,,
-7.89663,-73.92859,20.44365,7.59206,60.00000,5.27468,66.03196,53.48494,0.00000,0.00000,0.00000,0.00072,0.00578,0.00338,0.00000,0.32937,0.61061,0.00207,0.00459,0.04297,0.27092,0.12212,0.92000,,
-7.89301,-73.92033,20.44247,7.61346,60.00000,5.26675,66.02731,53.47786,0.00000,0.00000,0.00000,0.00708,0.00465,0.00118,0.00000,0.32939,0.61068,0.00123,0.00662,0.25330,0.42512,0.08725,0.91000,,
-7.93316,-73.91321,20.47650,7.61452,60.00000,5.26614,65.98004,53.43671,0.00000,0.00000,0.00000,0.04115,0.04727,0.03403,0.00000,0.32937,0.61062,0.00193,0.00559,0.23331,0.19362,0.04723,0.90000,,
-7.95950,-73.90530,20.51478,7.58621,60.00000,5.27472,65.94581,53.39052,0.00000,0.00000,0.00000,0.04619,0.03423,0.03829,0.00000,0.32940,0.61058,0.00280,0.00474,0.16559,0.91751,0.08773,0.89000,,
-7.95975,-73.90044,20.52637,7.55435,60.00000,5.30096,65.94069,53.37406,0.00000,0.00000,0.00000,0.01646,0.00512,0.01159,0.00000,0.32943,0.61059,0.00306,0.00106,0.05489,0.70457,0.15290,0.88000,,
-7.95289,-73.89537,20.52724,7.55370,60.00000,5.33418,65.94247,53.36813,0.00000,0.00000,0.00000,0.00594,0.00179,0.00087,0.00000,0.32945,0.61063,0.00236,0.00412,0.12866,0.23777,0.14506,0.87000,,
-7.94095,-73.92451,20.50811,7.55532,60.00000,5.36426,65.98357,53.41641,0.00000,0.00000,0.00000,0.04828,0.04109,0.01914,0.00000,0.32941,0.61047,0.00344,0.01618,0.03054,0.20169,0.07305,0.86000,,
-7.93163,-73.94649,20.49842,7.56993,60.00000,5.38132,66.01485,53.44807,0.00000,0.00000,0.00000,0.03166,0.03129,0.00969,0.00000,0.32940,0.61034,0.00137,0.01320,0.06809,0.16859,0.06873,0.85000,,
-7.92033,-73.94928,20.49964,7.57888,60.00000,5.38135,66.02895,53.44964,0.00000,0.00000,0.00000,0.00157,0.01410,0.00122,0.00000,0.32943,0.61032,0.00309,0.00131,0.28967,0.25926,0.05243,0.84000,,
-7.91187,-73.94685,20.49390,7.57695,60.00000,5.35699,66.03497,53.45295,0.00000,0.00000,0.00000,0.00331,0.00602,0.00574,0.00000,0.32944,0.61036,0.00101,0.00376,0.39627,0.09412,0.19812,0.83000,,
-7.90133,-73.95510,20.49233,7.57681,60.00000,5.32608,66.05377,53.46277,0.00000,0.00000,0.00000,0.00982,0.01880,0.00157,0.00000,0.32946,0.61031,0.00185,0.00479,0.52359,0.17258,0.13858,0.82000,,
-7.89464,-73.96220,20.49339,7.56255,60.00000,5.30079,66.06756,53.46881,0.00000,0.00000,0.00000,0.00604,0.01379,0.00106,0.00000,0.32948,0.61026,0.00154,0.00485,0.07780,0.44352,0.10696,0.81000,,
-7.89112,-73.97166,20.51491,7.54696,60.00000,5.29560,66.08054,53.45676,0.00000,0.00000,0.00000,0.01205,0.01299,0.02152,0.00000,0.32953,0.61015,0.00547,0.01124,0.20017,0.38391,0.15924,0.80000,,
-7.89084,-73.97197,20.55227,7.53563,60.00000,5.31386,66.08112,53.41970,0.00000,0.00000,0.00000,0.03706,0.00058,0.03736,0.00000,0.32962,0.61007,0.00905,0.00823,0.69950,0.25327,0.28261,0.79000,,
-7.89269,-73.96889,20.56394,7.50649,60.00000,5.32107,66.07620,53.40495,0.00000,0.00000,0.00000,0.01476,0.00492,0.01167,0.00000,0.32965,0.61006,0.00253,0.00042,0.74998,0.16307,0.23062,0.78000,,
-7.90928,-73.95612,20.56581,7.49330,60.00000,5.34709,66.04684,53.39030,0.00000,0.00000,0.00000,0.01464,0.02937,0.00187,0.00000,0.32962,0.61014,0.00307,0.00750,1.22719,0.43343,0.11158,0.77000,,
-7.94046,-73.93896,20.56527,7.49718,60.00000,5.37259,65.99850,53.37370,0.00000,0.00000,0.00000,0.01661,0.04833,0.00055,0.00000,0.32954,0.61024,0.00720,0.00995,1.07389,0.65506,0.05392,0.76000,,
-7.97232,-73.93793,20.56739,7.49394,60.00000,5.39321,65.96561,53.37053,0.00000,0.00000,0.00000,0.00317,0.03290,0.00213,0.00000,0.32947,0.61021,0.00784,0.00250,0.27488,0.35896,0.07335,0.75000,,
-7.97592,-73.94743,20.58802,7.49274,60.00000,5.40458,65.97151,53.35942,0.00000,0.00000,0.00000,0.01112,0.00591,0.02062,0.00000,0.32950,0.61010,0.00337,0.01172,0.23783,0.34688,0.15423,0.74000,,
-7.97267,-73.95963,20.60902,7.48955,60.00000,5.40403,65.98696,53.35062,0.00000,0.00000,0.00000,0.00880,0.01545,0.02100,0.00000,0.32955,0.60997,0.00508,0.01318,0.36096,0.23581,0.10495,0.73000,,
-7.96365,-73.98064,20.60550,7.49963,60.00000,5.41472,66.01698,53.37514,0.00000,0.00000,0.00000,0.02452,0.03002,0.00352,0.00000,0.32955,0.60983,0.00011,0.01383,0.17197,0.27014,0.01675,0.72000,,
-7.95634,-73.98488,20.58080,7.51183,60.00000,5.42165,66.02854,53.40408,0.00000,0.00000,0.00000,0.02893,0.01156,0.02469,0.00000,0.32951,0.60986,0.00430,0.00285,0.49545,0.17846,0.04594,0.71000,,
-7.95981,-73.97707,20.53823,7.53652,60.00000,5.42632,66.01727,53.43884,0.00000,0.00000,0.00000,0.03477,0.01128,0.04257,0.00000,0.32940,0.61000,0.01064,0.01458,0.54532,0.24926,0.04073,0.70000,,
-7.99760,-73.97593,20.50616,7.54590,60.00000,5.42903,65.97833,53.46976,0.00000,0.00000,0.00000,0.03092,0.03893,0.03207,0.00000,0.32923,0.61004,0.01763,0.00439,0.86079,0.20318,0.08576,0.69000,,
-8.03935,-73.97313,20.46546,7.54462,60.00000,5.43234,65.93378,53.50767,0.00000,0.00000,0.00000,0.03791,0.04456,0.04070,0.00000,0.32902,0.61012,0.02064,0.00708,0.99311,0.37247,0.16663,0.68000,,
-8.05992,-73.97752,20.45813,7.54587,60.00000,5.41101,65.91760,53.51939,0.00000,0.00000,0.00000,0.01172,0.01617,0.00732,0.00000,0.32894,0.61008,0.00750,0.00348,0.46908,0.24001,0.15021,0.67000,,
-8.09380,-73.97759,20.45771,7.54516,60.00000,5.38742,65.88379,53.51988,0.00000,0.00000,0.00000,0.00049,0.03381,0.00042,0.00000,0.32885,0.61005,0.00905,0.00299,0.26109,0.35914,0.13963,0.66000,,
