Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-7.29769,-73.08166,21.90350,7.45619,60.00000,3.67201,65.78397,51.17816,0.00000,0.00000,0.00000,0.06448,0.03531,0.03127,0.00000,0.33505,0.61408,0.00928,0.01690,0.24533,0.94477,0.70366,0.14000,,
-7.30808,-73.11168,21.87545,7.45092,60.00000,3.66508,65.80360,51.23623,0.00000,0.00000,0.00000,0.05807,0.01964,0.02804,0.00000,0.33493,0.61391,0.01159,0.01632,2.29903,0.07239,0.03886,0.13000,,
-7.32301,-73.13223,21.84113,7.45824,60.00000,3.66321,65.80923,51.29111,0.00000,0.00000,0.00000,0.05488,0.00562,0.03433,0.00000,0.33480,0.61383,0.01361,0.00837,0.49408,1.18900,0.39478,0.12000,,
-7.35537,-73.13119,21.83855,7.48396,60.00000,3.64855,65.77581,51.29264,0.00000,0.00000,0.00000,0.00153,0.03342,0.00258,0.00000,0.33471,0.61382,0.00910,0.00128,1.91526,0.74417,0.12178,0.11000,,
-7.38607,-73.11462,21.86466,7.52193,60.00000,3.64395,65.72855,51.24995,0.00000,0.00000,0.00000,0.04269,0.04726,0.02611,0.00000,0.33470,0.61385,0.00071,0.00363,0.37084,0.40247,0.23560,0.10000,,
-7.40701,-73.07921,21.90136,7.54645,60.00000,3.64219,65.67220,51.17785,0.00000,0.00000,0.00000,0.07211,0.05634,0.03670,0.00000,0.33476,0.61401,0.00575,0.01572,0.82556,0.07793,0.07834,0.09000,,
-7.41271,-73.04693,21.93163,7.57531,60.00000,3.64349,65.63422,51.11530,0.00000,0.00000,0.00000,0.06255,0.03799,0.03028,0.00000,0.33484,0.61417,0.00802,0.01615,0.99545,0.19249,0.34983,0.08000,,
-7.41384,-73.01528,21.95901,7.59434,60.00000,3.64347,65.60144,51.05627,0.00000,0.00000,0.00000,0.05903,0.03278,0.02738,0.00000,0.33492,0.61434,0.00850,0.01671,0.18077,0.18867,0.31950,0.07000,,
-7.41775,-72.98672,21.97838,7.62009,60.00000,3.64992,65.56898,51.00834,0.00000,0.00000,0.00000,0.04793,0.03246,0.01937,0.00000,0.33498,0.61450,0.00564,0.01606,0.16929,0.18477,0.19088,0.06000,,
-7.41837,-72.95982,21.98366,7.63863,60.00000,3.66379,65.54144,50.97615,0.00000,0.00000,0.00000,0.03218,0.02753,0.00528,0.00000,0.33501,0.61468,0.00303,0.01835,1.56843,0.44533,0.51728,0.05000,,
-7.44719,-72.93352,22.01628,7.64419,60.00000,3.67009,65.48633,50.91724,0.00000,0.00000,0.00000,0.05892,0.05511,0.03262,0.00000,0.33503,0.61478,0.00205,0.00931,1.40043,0.22231,0.17277,0.04000,,
-7.45441,-72.90601,22.05127,7.62024,60.00000,3.66855,65.45160,50.85475,0.00000,0.00000,0.00000,0.06249,0.03473,0.03498,0.00000,0.33511,0.61489,0.00841,0.01140,1.08420,2.21771,0.34116,0.03000,,
-7.45066,-72.86175,22.05316,7.58527,60.00000,3.65347,65.41109,50.80859,0.00000,0.00000,0.00000,0.04616,0.04051,0.00190,0.00000,0.33516,0.61521,0.00465,0.03213,0.92631,2.03364,0.24969,0.02000,,
-7.45623,-72.81249,22.05126,7.54518,60.00000,3.62309,65.35626,50.76123,0.00000,0.00000,0.00000,0.04735,0.05482,0.00190,0.00000,0.33518,0.61557,0.00165,0.03585,0.42624,0.21218,0.13760,0.01000,,
-7.45388,-72.78524,22.04121,7.51783,60.00000,3.59705,65.33136,50.74403,0.00000,0.00000,0.00000,0.01720,0.02490,0.01005,0.00000,0.33518,0.61579,0.00021,0.02235,0.72860,1.39680,0.64122,0.00000,,
-7.47497,-72.77960,22.02358,7.48741,60.00000,3.57197,65.30463,50.75602,0.00000,0.00000,0.00000,0.01199,0.02673,0.01762,0.00000,0.33508,0.61586,0.00937,0.00642,0.84453,1.40189,0.42228,0.01000,,
-7.52650,-72.79865,22.00616,7.48300,60.00000,3.55369,65.27215,50.79249,0.00000,0.00000,0.00000,0.03647,0.03248,0.01742,0.00000,0.33489,0.61572,0.01916,0.01415,0.69052,1.37574,0.44926,0.02000,,
-7.56871,-72.81948,21.99046,7.48397,60.00000,3.53541,65.25077,50.82903,0.00000,0.00000,0.00000,0.03654,0.02138,0.01571,0.00000,0.33473,0.61557,0.01642,0.01509,0.63835,0.63028,0.14603,0.03000,,
-7.57413,-72.84682,21.98482,7.48471,60.00000,3.51859,65.27270,50.86200,0.00000,0.00000,0.00000,0.03297,0.02193,0.00563,0.00000,0.33468,0.61537,0.00476,0.01907,0.81312,0.44829,0.88919,0.04000,,
