Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Angle Hip,Angle Knee,Ang Velocity Knee,Ang Velocity Hip,STS Phase,Placeholder,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
0.00,-90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,,
